"from","to","combined_score"
"9606.ENSP00000243924","9606.ENSP00000306512",546
"9606.ENSP00000255409","9606.ENSP00000306512",527
"9606.ENSP00000260227","9606.ENSP00000306512",671
"9606.ENSP00000263341","9606.ENSP00000306512",998
"9606.ENSP00000267953","9606.ENSP00000306512",587
"9606.ENSP00000279441","9606.ENSP00000306512",527
"9606.ENSP00000296026","9606.ENSP00000306512",753
"9606.ENSP00000296027","9606.ENSP00000306512",582
"9606.ENSP00000299855","9606.ENSP00000306512",734
"9606.ENSP00000302234","9606.ENSP00000306512",818
"9606.ENSP00000303532","9606.ENSP00000306512",687
"9606.ENSP00000226317","9606.ENSP00000306884",784
"9606.ENSP00000249887","9606.ENSP00000306884",455
"9606.ENSP00000263341","9606.ENSP00000306884",682
"9606.ENSP00000286758","9606.ENSP00000306884",943
"9606.ENSP00000296026","9606.ENSP00000306884",789
"9606.ENSP00000296027","9606.ENSP00000306884",783
"9606.ENSP00000302234","9606.ENSP00000306884",757
"9606.ENSP00000306512","9606.ENSP00000306884",719
"9606.ENSP00000226317","9606.ENSP00000319635",989
"9606.ENSP00000263341","9606.ENSP00000319635",700
"9606.ENSP00000286758","9606.ENSP00000319635",951
"9606.ENSP00000295619","9606.ENSP00000319635",490
"9606.ENSP00000296026","9606.ENSP00000319635",998
"9606.ENSP00000296027","9606.ENSP00000319635",999
"9606.ENSP00000302234","9606.ENSP00000319635",804
"9606.ENSP00000306512","9606.ENSP00000319635",999
"9606.ENSP00000306884","9606.ENSP00000319635",818
"9606.ENSP00000255409","9606.ENSP00000322788",501
"9606.ENSP00000257264","9606.ENSP00000322788",409
"9606.ENSP00000260227","9606.ENSP00000322788",926
"9606.ENSP00000263341","9606.ENSP00000322788",770
"9606.ENSP00000279441","9606.ENSP00000322788",936
"9606.ENSP00000296026","9606.ENSP00000322788",439
"9606.ENSP00000296027","9606.ENSP00000322788",505
"9606.ENSP00000299855","9606.ENSP00000322788",953
"9606.ENSP00000306512","9606.ENSP00000322788",759
"9606.ENSP00000306884","9606.ENSP00000322788",414
"9606.ENSP00000263341","9606.ENSP00000327251",813
"9606.ENSP00000296026","9606.ENSP00000327251",410
"9606.ENSP00000306512","9606.ENSP00000327251",589
"9606.ENSP00000233735","9606.ENSP00000329890",592
"9606.ENSP00000260227","9606.ENSP00000329890",468
"9606.ENSP00000297436","9606.ENSP00000329890",922
"9606.ENSP00000303206","9606.ENSP00000329890",597
"9606.ENSP00000303532","9606.ENSP00000329890",609
"9606.ENSP00000299855","9606.ENSP00000355751",489
"9606.ENSP00000330523","9606.ENSP00000355751",410
"9606.ENSP00000243611","9606.ENSP00000356037",871
"9606.ENSP00000263341","9606.ENSP00000357123",404
"9606.ENSP00000263341","9606.ENSP00000357722",682
"9606.ENSP00000306512","9606.ENSP00000357722",716
"9606.ENSP00000357123","9606.ENSP00000357722",734
"9606.ENSP00000243924","9606.ENSP00000357726",517
"9606.ENSP00000263341","9606.ENSP00000357726",601
"9606.ENSP00000295619","9606.ENSP00000357726",564
"9606.ENSP00000303532","9606.ENSP00000357726",426
"9606.ENSP00000306512","9606.ENSP00000357726",568
"9606.ENSP00000319635","9606.ENSP00000357726",402
"9606.ENSP00000357123","9606.ENSP00000357726",601
"9606.ENSP00000357722","9606.ENSP00000357726",985
"9606.ENSP00000243924","9606.ENSP00000357727",410
"9606.ENSP00000263341","9606.ENSP00000357727",609
"9606.ENSP00000306512","9606.ENSP00000357727",532
"9606.ENSP00000357123","9606.ENSP00000357727",741
"9606.ENSP00000357722","9606.ENSP00000357727",999
"9606.ENSP00000357726","9606.ENSP00000357727",995
"9606.ENSP00000243924","9606.ENSP00000357905",598
"9606.ENSP00000294338","9606.ENSP00000357905",960
"9606.ENSP00000356905","9606.ENSP00000358794",455
"9606.ENSP00000255409","9606.ENSP00000361004",947
"9606.ENSP00000226317","9606.ENSP00000361405",643
"9606.ENSP00000242261","9606.ENSP00000361405",618
"9606.ENSP00000255409","9606.ENSP00000361405",550
"9606.ENSP00000260227","9606.ENSP00000361405",560
"9606.ENSP00000263341","9606.ENSP00000361405",882
"9606.ENSP00000267953","9606.ENSP00000361405",404
"9606.ENSP00000274026","9606.ENSP00000361405",454
"9606.ENSP00000279441","9606.ENSP00000361405",966
"9606.ENSP00000286758","9606.ENSP00000361405",450
"9606.ENSP00000295619","9606.ENSP00000361405",502
"9606.ENSP00000296026","9606.ENSP00000361405",543
"9606.ENSP00000296027","9606.ENSP00000361405",816
"9606.ENSP00000299855","9606.ENSP00000361405",918
"9606.ENSP00000302234","9606.ENSP00000361405",485
"9606.ENSP00000306512","9606.ENSP00000361405",871
"9606.ENSP00000306884","9606.ENSP00000361405",486
"9606.ENSP00000319635","9606.ENSP00000361405",605
"9606.ENSP00000322788","9606.ENSP00000361405",961
"9606.ENSP00000327251","9606.ENSP00000361405",547
"9606.ENSP00000355751","9606.ENSP00000361405",756
"9606.ENSP00000357722","9606.ENSP00000361405",471
"9606.ENSP00000357726","9606.ENSP00000361405",508
"9606.ENSP00000357727","9606.ENSP00000361405",528
"9606.ENSP00000243924","9606.ENSP00000362108",562
"9606.ENSP00000255409","9606.ENSP00000362108",575
"9606.ENSP00000257264","9606.ENSP00000362108",455
"9606.ENSP00000260227","9606.ENSP00000362108",439
"9606.ENSP00000263341","9606.ENSP00000362108",671
"9606.ENSP00000294338","9606.ENSP00000362108",656
"9606.ENSP00000296027","9606.ENSP00000362108",521
"9606.ENSP00000299855","9606.ENSP00000362108",934
"9606.ENSP00000303532","9606.ENSP00000362108",543
"9606.ENSP00000306512","9606.ENSP00000362108",631
"9606.ENSP00000322788","9606.ENSP00000362108",949
"9606.ENSP00000356905","9606.ENSP00000362108",474
"9606.ENSP00000357722","9606.ENSP00000362108",457
"9606.ENSP00000357726","9606.ENSP00000362108",523
"9606.ENSP00000357727","9606.ENSP00000362108",492
"9606.ENSP00000361405","9606.ENSP00000362108",999
"9606.ENSP00000357726","9606.ENSP00000363988",704
"9606.ENSP00000217131","9606.ENSP00000366109",422
"9606.ENSP00000263341","9606.ENSP00000366109",498
"9606.ENSP00000295619","9606.ENSP00000366109",551
"9606.ENSP00000306512","9606.ENSP00000366109",514
"9606.ENSP00000357722","9606.ENSP00000366109",520
"9606.ENSP00000357726","9606.ENSP00000366109",621
"9606.ENSP00000357727","9606.ENSP00000366109",578
"9606.ENSP00000361405","9606.ENSP00000366109",403
"9606.ENSP00000265634","9606.ENSP00000367151",673
"9606.ENSP00000263341","9606.ENSP00000370842",770
"9606.ENSP00000286758","9606.ENSP00000370842",404
"9606.ENSP00000296027","9606.ENSP00000370842",478
"9606.ENSP00000302234","9606.ENSP00000370842",672
"9606.ENSP00000306512","9606.ENSP00000370842",687
"9606.ENSP00000319635","9606.ENSP00000370842",459
"9606.ENSP00000361405","9606.ENSP00000370842",454
"9606.ENSP00000263341","9606.ENSP00000375066",583
"9606.ENSP00000263341","9606.ENSP00000376793",408
"9606.ENSP00000265634","9606.ENSP00000376793",482
"9606.ENSP00000357727","9606.ENSP00000376793",481
"9606.ENSP00000361405","9606.ENSP00000376793",440
"9606.ENSP00000367151","9606.ENSP00000376793",411
"9606.ENSP00000233735","9606.ENSP00000377456",831
"9606.ENSP00000243924","9606.ENSP00000377456",468
"9606.ENSP00000297436","9606.ENSP00000377456",720
"9606.ENSP00000303206","9606.ENSP00000377456",686
"9606.ENSP00000329890","9606.ENSP00000377456",753
"9606.ENSP00000362108","9606.ENSP00000377456",498
"9606.ENSP00000243611","9606.ENSP00000378130",768
"9606.ENSP00000356037","9606.ENSP00000378130",795
"9606.ENSP00000255409","9606.ENSP00000378517",550
"9606.ENSP00000260227","9606.ENSP00000378517",968
"9606.ENSP00000263341","9606.ENSP00000378517",625
"9606.ENSP00000279441","9606.ENSP00000378517",440
"9606.ENSP00000296027","9606.ENSP00000378517",430
"9606.ENSP00000299855","9606.ENSP00000378517",984
"9606.ENSP00000306512","9606.ENSP00000378517",622
"9606.ENSP00000322788","9606.ENSP00000378517",521
"9606.ENSP00000355751","9606.ENSP00000378517",770
"9606.ENSP00000361405","9606.ENSP00000378517",717
"9606.ENSP00000362108","9606.ENSP00000378517",614
"9606.ENSP00000226317","9606.ENSP00000379110",822
"9606.ENSP00000260227","9606.ENSP00000379110",529
"9606.ENSP00000263341","9606.ENSP00000379110",996
"9606.ENSP00000279441","9606.ENSP00000379110",488
"9606.ENSP00000286758","9606.ENSP00000379110",692
"9606.ENSP00000296026","9606.ENSP00000379110",933
"9606.ENSP00000296027","9606.ENSP00000379110",697
"9606.ENSP00000299855","9606.ENSP00000379110",622
"9606.ENSP00000302234","9606.ENSP00000379110",840
"9606.ENSP00000303532","9606.ENSP00000379110",476
"9606.ENSP00000306512","9606.ENSP00000379110",897
"9606.ENSP00000306884","9606.ENSP00000379110",725
"9606.ENSP00000319635","9606.ENSP00000379110",999
"9606.ENSP00000322788","9606.ENSP00000379110",659
"9606.ENSP00000327251","9606.ENSP00000379110",594
"9606.ENSP00000361405","9606.ENSP00000379110",796
"9606.ENSP00000362108","9606.ENSP00000379110",650
"9606.ENSP00000370842","9606.ENSP00000379110",579
"9606.ENSP00000378517","9606.ENSP00000379110",499
"9606.ENSP00000263341","9606.ENSP00000381101",528
"9606.ENSP00000302234","9606.ENSP00000381101",543
"9606.ENSP00000370842","9606.ENSP00000381101",521
"9606.ENSP00000263341","9606.ENSP00000384906",617
"9606.ENSP00000295619","9606.ENSP00000384906",509
"9606.ENSP00000299855","9606.ENSP00000384906",939
"9606.ENSP00000306512","9606.ENSP00000384906",628
"9606.ENSP00000317674","9606.ENSP00000384906",698
"9606.ENSP00000322788","9606.ENSP00000384906",939
"9606.ENSP00000357726","9606.ENSP00000384906",723
"9606.ENSP00000361405","9606.ENSP00000384906",940
"9606.ENSP00000362108","9606.ENSP00000384906",956
"9606.ENSP00000366109","9606.ENSP00000384906",482
"9606.ENSP00000376793","9606.ENSP00000384906",464
"9606.ENSP00000379110","9606.ENSP00000384906",462
"9606.ENSP00000355751","9606.ENSP00000398736",415
"9606.ENSP00000348064","9606.ENSP00000422431",506
"9606.ENSP00000263341","9606.ENSP00000424598",459
"9606.ENSP00000297436","9606.ENSP00000424598",540
"9606.ENSP00000303532","9606.ENSP00000424598",866
"9606.ENSP00000306512","9606.ENSP00000424598",564
"9606.ENSP00000329890","9606.ENSP00000424598",604
"9606.ENSP00000362108","9606.ENSP00000424598",517
"9606.ENSP00000381101","9606.ENSP00000426613",403
"9606.ENSP00000226317","9606.ENSP00000427279",623
"9606.ENSP00000260227","9606.ENSP00000427279",471
"9606.ENSP00000263341","9606.ENSP00000427279",994
"9606.ENSP00000286758","9606.ENSP00000427279",637
"9606.ENSP00000296026","9606.ENSP00000427279",939
"9606.ENSP00000296027","9606.ENSP00000427279",638
"9606.ENSP00000299855","9606.ENSP00000427279",500
"9606.ENSP00000302234","9606.ENSP00000427279",723
"9606.ENSP00000306512","9606.ENSP00000427279",884
"9606.ENSP00000306884","9606.ENSP00000427279",800
"9606.ENSP00000319635","9606.ENSP00000427279",999
"9606.ENSP00000322788","9606.ENSP00000427279",402
"9606.ENSP00000327251","9606.ENSP00000427279",568
"9606.ENSP00000361405","9606.ENSP00000427279",671
"9606.ENSP00000362108","9606.ENSP00000427279",559
"9606.ENSP00000370842","9606.ENSP00000427279",536
"9606.ENSP00000379110","9606.ENSP00000427279",960
"9606.ENSP00000263341","9606.ENSP00000430950",623
"9606.ENSP00000306512","9606.ENSP00000430950",525
"9606.ENSP00000306884","9606.ENSP00000430950",588
"9606.ENSP00000327251","9606.ENSP00000430950",428
"9606.ENSP00000263341","9606.ENSP00000433642",714
"9606.ENSP00000306512","9606.ENSP00000433642",621
"9606.ENSP00000319635","9606.ENSP00000433642",611
"9606.ENSP00000357123","9606.ENSP00000433642",562
"9606.ENSP00000357722","9606.ENSP00000433642",507
"9606.ENSP00000357726","9606.ENSP00000433642",573
"9606.ENSP00000357727","9606.ENSP00000433642",591
"9606.ENSP00000361405","9606.ENSP00000433642",449
"9606.ENSP00000379110","9606.ENSP00000433642",417
"9606.ENSP00000317674","9606.ENSP00000436126",622
"9606.ENSP00000384906","9606.ENSP00000436126",696
"9606.ENSP00000375066","9606.ENSP00000436714",887
"9606.ENSP00000263341","9606.ENSP00000450540",408
"9606.ENSP00000265634","9606.ENSP00000450540",494
"9606.ENSP00000357727","9606.ENSP00000450540",481
"9606.ENSP00000361405","9606.ENSP00000450540",440
"9606.ENSP00000367151","9606.ENSP00000450540",426
"9606.ENSP00000376793","9606.ENSP00000450540",801
"9606.ENSP00000378130","9606.ENSP00000450540",419
"9606.ENSP00000384906","9606.ENSP00000450540",492
"9606.ENSP00000263341","9606.ENSP00000475084",478
"9606.ENSP00000319705","9606.ENSP00000475084",999
"9606.ENSP00000357905","9606.ENSP00000475084",724
"9606.ENSP00000362108","9606.ENSP00000475084",434
"9606.ENSP00000242261","9606.ENSP00000478319",477
"9606.ENSP00000226317","9606.ENSP00000479955",418
"9606.ENSP00000255409","9606.ENSP00000479955",490
"9606.ENSP00000260227","9606.ENSP00000479955",518
"9606.ENSP00000263341","9606.ENSP00000479955",605
"9606.ENSP00000286758","9606.ENSP00000479955",678
"9606.ENSP00000296026","9606.ENSP00000479955",540
"9606.ENSP00000296027","9606.ENSP00000479955",532
"9606.ENSP00000302234","9606.ENSP00000479955",726
"9606.ENSP00000306512","9606.ENSP00000479955",638
"9606.ENSP00000306884","9606.ENSP00000479955",606
"9606.ENSP00000319635","9606.ENSP00000479955",749
"9606.ENSP00000361405","9606.ENSP00000479955",566
"9606.ENSP00000379110","9606.ENSP00000479955",595
"9606.ENSP00000427279","9606.ENSP00000479955",515
